Rotowire Name,Full Name,Starter,Team
Luis Arraez,Luis Arraez,1,
Nelson Cruz,Nelson Cruz,1,TB
Max Kepler,Max Kepler,1,
Ben Rortvedt,Ben Rortvedt,1,
Eric Haase,Eric Haase,1,
Zack Short,Zack Short,1,
Jake Rogers,Jake Rogers,1,
Derek Hill,Derek Hill,1,
Amed Rosario,Amed Rosario,1,
Jose Ramirez,Jose Ramirez,1,
Mark Canha,Mark Canha,1,
Elvis Andrus,Elvis Andrus,1,
Matt Olson,Matt Olson,1,
Matt Chapman,Matt Chapman,1,
Seth Brown,Seth Brown,1,
Tony Kemp,Tony Kemp,1,
Javier Baez,Javier Baez,1,
Kris Bryant,Kris Bryant,1,
Nico Hoerner,Nico Hoerner,1,
Ian Happ,Ian Happ,1,
Josh Rojas,Josh Rojas,1,
Pavin Smith,Pavin Smith,1,
Nick Ahmed,Nick Ahmed,1,
Adam Duvall,Adam Duvall,1,
Miguel Rojas,Miguel Rojas,1,
Jorge Alfaro,Jorge Alfaro,1,
Jon Berti,Jon Berti,1,
Jean Segura,Jean Segura,1,
Bryce Harper,Bryce Harper,1,
Rhys Hoskins,Rhys Hoskins,1,
Ryan Jeffers,Ryan Jeffers,1,
Tommy Pham,Tommy Pham,1,
T. Grisham,Trent Grisham,1,
M. Machado,Manny Machado,1,
F. Tatis,Fernando Tatis Jr.,1,
Eric Hosmer,Eric Hosmer,1,
Wil Myers,Wil Myers,1,
J. Cronenworth,Jake Cronenworth,1,
V. Caratini,Victor Caratini,1,
Blake Snell,Blake Snell,1,
A. Escobar,Alcides Escobar,1,WAS
Trea Turner,Trea Turner,1,WAS
Juan Soto,Juan Soto,1,WAS
R. Zimmerman,Ryan Zimmerman,1,
J. Harrison,Josh Harrison,1,
Jordy Mercer,Jordy Mercer,1,
Rene Rivera,Rene Rivera,1,
V. Robles,Victor Robles,1,
P. Corbin,Patrick Corbin,1,
B. Nimmo,Brandon Nimmo,1,NYM
F. Lindor,Francisco Lindor,1,NYM
D. Smith,Dominic Smith,1,NYM
Pete Alonso,Pete Alonso,1,NYM
Jeff McNeil,Jeff McNeil,1,NYM
M. Conforto,Michael Conforto,1,
J.D. Davis,J.D. Davis,1,
James McCann,James McCann,1,
Tylor Megill,Tylor Megill,1,
Adam Frazier,Adam Frazier,1,
K. Hayes,Ke'Bryan Hayes,1,
B. Reynolds,Bryan Reynolds,1,
J. Nogowski,John Nogowski,1,
Ben Gamel,Ben Gamel,1,
Wilmer Difo,Wilmer Difo,1,
J. Stallings,Jacob Stallings,1,
Kevin Newman,Kevin Newman,1,
Wil Crowe,Wil Crowe,1,
C. Mullins,Cedric Mullins,1,
Austin Hays,Austin Hays,1,
Trey Mancini,Trey Mancini,1,
A. Santander,Anthony Santander,1,
R. Mountcastle,Ryan Mountcastle,1,
D. Leyba,Domingo Leyba,1,
Ramon Urias,Ramon Urias,1,
P. Severino,Pedro Severino,1,
Pat Valaika,Pat Valaika,1,
W. Merrifield,Whit Merrifield,1,
C. Santana,Carlos Santana,1,
S. Perez,Salvador Perez,1,
A. Benintendi,Andrew Benintendi,1,
H. Dozier,Hunter Dozier,1,
Jorge Soler,Jorge Soler,1,
Ryan O'Hearn,Ryan O'Hearn,1,
M. Taylor,Michael A. Taylor,1,
Nicky Lopez,Nicky Lopez,1,
Kolten Wong,Kolten Wong,1,
C. Yelich,Christian Yelich,1,
Willy Adames,Willy Adames,1,
Omar Narvaez,Omar Narvaez,1,
A. Garcia,Avisail Garcia,1,
Luis Urias,Luis Urias,1,
Rowdy Tellez,Rowdy Tellez,1,
J. Bradley,Jackie Bradley Jr.,1,
B. Woodruff,Brandon Woodruff,1,
J. India,Jonathan India,1,
Jesse Winker,Jesse Winker,1,
T. Stephenson,Tyler Stephenson,1,
Joey Votto,Joey Votto,1,
Tyler Naquin,Tyler Naquin,1,
E. Suarez,Eugenio Suarez,1,
S. Akiyama,Shogo Akiyama,1,
Kyle Farmer,Kyle Farmer,1,
L. Castillo,Luis Castillo,1,
Jose Altuve,Jose Altuve,1,
M. Brantley,Michael Brantley,1,
Yuli Gurriel,Yuli Gurriel,1,
Y. Alvarez,Yordan Alvarez,1,
C. Correa,Carlos Correa,1,
Kyle Tucker,Kyle Tucker,1,
Abraham Toro,Abraham Toro,1,
Myles Straw,Myles Straw,1,
M. Maldonado,Martin Maldonado,1,
Tim Anderson,Tim Anderson,1,
Yoan Moncada,Yoan Moncada,1,
Jose Abreu,Jose Abreu,1,
B. Goodwin,Brian Goodwin,1,
A. Vaughn,Andrew Vaughn,1,
Leury Garcia,Leury Garcia,1,
Adam Engel,Adam Engel,1,
Gavin Sheets,Gavin Sheets,1,
Zack Collins,Zack Collins,1,
E. Hernandez,Kike Hernandez,1,BOS
Alex Verdugo,Alex Verdugo,1,BOS
J. Martinez,J.D. Martinez,1,BOS
X. Bogaerts,Xander Bogaerts,1,BOS
R. Devers,Rafael Devers,1,BOS
H. Renfroe,Hunter Renfroe,1,BOS
Jarren Duran,Jarren Duran,1,BOS
C. Vazquez,Christian Vazquez,1,BOS
Bobby Dalbec,Bobby Dalbec,1,BOS
DJ LeMahieu,DJ LeMahieu,1,NYY
Rougned Odor,Rougned Odor,1,NYY
Gary Sanchez,Gary Sanchez,1,NYY
G. Stanton,Giancarlo Stanton,1,NYY
G. Torres,Gleyber Torres,1,NYY
C. Gittens,Chris Gittens,1,NYY
T. Amburgey,Trey Amburgey,1,
B. Gardner,Brett Gardner,1,NYY
Tim Locastro,Tim Locastro,1,
A. Slater,Austin Slater,1,
W. Flores,Wilmer Flores,1,
B. Crawford,Brandon Crawford,1,
D. Solano,Donovan Solano,1,
LaMonte Wade,LaMonte Wade,1,
Darin Ruf,Darin Ruf,1,
Curt Casali,Curt Casali,1,
T. Estrada,Thairo Estrada,1,
A. DeSclafani,Anthony DeSclafani,1,
D. Carlson,Dylan Carlson,1,
P. Goldschmidt,Paul Goldschmidt,1,
N. Arenado,Nolan Arenado,1,
T. O'Neill,Tyler O'Neill,1,
Y. Molina,Yadier Molina,1,
Tommy Edman,Tommy Edman,1,
Paul DeJong,Paul DeJong,1,
H. Bader,Harrison Bader,1,
K. Kim,Kwang Hyun Kim,1,
Yandy Diaz,Yandy Diaz,1,TB
W. Franco,Wander Franco,1,TB
A. Meadows,Austin Meadows,1,TB
R. Arozarena,Randy Arozarena,1,TB
Ji-Man Choi,Ji-Man Choi,1,TB
F. Mejia,Francisco Mejia,1,TB
B. Phillips,Brett Phillips,1,TB
Taylor Walls,Taylor Walls,1,TB
Josh Fleming,Josh Fleming,1,TB
Joc Pederson,Joc Pederson,1,ATL
D. Swanson,Dansby Swanson,1,ATL
F. Freeman,Freddie Freeman,1,ATL
Ozzie Albies,Ozzie Albies,1,ATL
Austin Riley,Austin Riley,1,ATL
O. Arcia,Orlando Arcia,1,ATL
G. Heredia,Guillermo Heredia,1,ATL
Kevan Smith,Kevan Smith,1,ATL
Max Fried,Max Fried,1,ATL
Mookie Betts,Mookie Betts,1,LAD
Max Muncy,Max Muncy,1,LAD
J. Turner,Justin Turner,1,LAD
C. Bellinger,Cody Bellinger,1,LAD
Will Smith,Will Smith,1,LAD
Chris Taylor,Chris Taylor,1,LAD
AJ Pollock,AJ Pollock,1,LAD
Gavin Lux,Gavin Lux,1,LAD
W. Buehler,Walker Buehler,1,LAD
Raimel Tapia,Raimel Tapia,1,COL
G. Hampson,Garrett Hampson,1,COL
C. Blackmon,Charlie Blackmon,1,COL
Trevor Story,Trevor Story,1,COL
Ryan McMahon,Ryan McMahon,1,COL
B. Rodgers,Brendan Rodgers,1,COL
C.J. Cron,C.J. Cron,1,COL
Elias Diaz,Elias Diaz,1,COL
K. Freeland,Kyle Freeland,1,
J. Crawford,J.P. Crawford,1,SEA
M. Haniger,Mitch Haniger,1,SEA
Kyle Seager,Kyle Seager,1,SEA
Ty France,Ty France,1,SEA
J. Kelenic,Jarred Kelenic,1,SEA
Luis Torrens,Luis Torrens,1,SEA
Dylan Moore,Dylan Moore,1,SEA
Jake Fraley,Jake Fraley,1,SEA
Shed Long,Shed Long,1,
D. Fletcher,David Fletcher,1,LAA
S. Ohtani,Shohei Ohtani,1,LAA
Jared Walsh,Jared Walsh,1,LAA
Max Stassi,Max Stassi,1,LAA
Taylor Ward,Taylor Ward,1,LAA
Jose Rojas,Jose Rojas,1,LAA
J. Iglesias,Jose Iglesias,1,LAA
Adam Eaton,Adam Eaton,1,
Juan Lagares,Juan Lagares,1,
Joe Panik,Joe Panik,1,
Sandy Leon,Sandy Leon,1,
Miguel Sano,Miguel Sano,1,
H. Castro,Harold Castro,1,
Ha-Seong Kim,Ha-Seong Kim,1,
W. Rivas,Webster Rivas,1,
L. Guillorme,Luis Guillorme,1,
G. Polanco,Gregory Polanco,1,
DJ Stewart,DJ Stewart,1,
J. Peterson,Jace Peterson,1,
Jason Castro,Jason Castro,1,
Jake Burger,Jake Burger,1,
C. Arroyo,Christian Arroyo,1,
Greg Allen,Greg Allen,1,
M. Yastrzemski,Mike Yastrzemski,1,
S. Duggar,Steven Duggar,1,
A. Pujols,Albert Pujols,1,
A. Barnes,Austin Barnes,1,
Dom Nunez,Dom Nunez,1,
Cal Raleigh,Cal Raleigh,1,
Jake Bauers,Jake Bauers,1,
P. Gosselin,Phil Gosselin,1,
Kurt Suzuki,Kurt Suzuki,1,
J. Mayfield,Jack Mayfield,1,
Nate Lowe,Nate Lowe,1,
